date,NO2
2021-03-18,8.038000669330359e-05
2021-03-21,4.678370714827906e-05
2021-03-20,4.731344718796511e-05
2021-03-25,4.7843187227651164e-05
2021-03-23,4.837292726733722e-05
2021-03-19,3.5387385651119985e-05
2021-03-24,3.145152186334599e-05
2021-03-22,2.751565807557199e-05
2021-04-24,2.3579794287797995e-05
2021-04-19,2.735212729021441e-05
2021-04-26,3.2572537747910246e-05
2021-04-23,7.141113746911287e-05
2021-04-25,2.766286979749566e-05
2021-04-21,4.965523476130329e-05
2021-04-22,5.936505112913437e-05
2021-04-20,5.4958965847617947e-05
2021-05-18,4.726051884063054e-05
2021-05-20,4.1983104893006384e-05
2021-05-16,3.67617967640399e-05
2021-05-17,3.1540488635073416e-05
2021-05-14,1.9817990505544003e-05
2021-05-19,2.3539161247754237e-05
2021-05-15,2.726033198996447e-05
2021-05-13,2.429201140330406e-05
2021-06-11,2.006139766308479e-05
2021-06-08,3.120395012956578e-05
2021-06-10,4.510440703597851e-05
2021-06-13,2.5264247597078796e-05
2021-06-07,2.66074621322332e-05
2021-06-06,2.79506766673876e-05
2021-06-09,5.530780799745117e-05
2021-06-12,5.216341378400102e-05
2021-06-22,2.907567250076681e-05
2021-06-23,1.556825100124115e-05
2021-06-25,2.4390381895500468e-05
2021-06-28,2.8860792781415515e-05
2021-06-26,3.333120366733056e-05
2021-06-29,2.674224379006773e-05
2021-06-24,2.272206256748177e-05
2021-06-27,1.870188134489581e-05
