NO2_t-1,NO2_t-2,NO2_t-3,NO2
0.16932949706514674,-0.3509831264250311,-0.8713248101651507,2.052628406090662e-05
-1.0635653985690263,0.17017340547895518,-0.35042256798736454,2.7545460397959687e-05
-0.6158098246250437,-1.06127241341341,0.17047967419042162,2.3623560991836712e-05
-0.8659890814516956,-0.6140431067047891,-1.0603652810440087,5.738553227274679e-06
-2.0068796264491997,-0.8639283166150055,-0.6133541924924858,1.198844120153808e-05
-1.6081972109313707,-2.003477921716044,-0.8631174750397708,1.823832917580148e-05
-1.209514795413542,-1.605264095546537,-2.00211105572332,3.953920531785116e-05
0.1492751201704004,-1.2070502693770302,-1.6040915314163569,9.449944263906218e-05
3.655206788527386,0.1501425993940423,-1.2060720071093936,3.567706517060287e-05
-0.09709207381995362,3.6519535888050974,0.15045864180665816,3.901401214534417e-05
0.11577287445163,-0.09593502816853257,3.6505609803552774,2.5514515073155053e-05
-0.7453644968386978,0.11667973036929612,-0.09549891623993415,1.4093015579419443e-05
-1.4739457171340657,-0.7434455074937157,0.11701210043642893,1.686599716776982e-05
-1.2970563068946301,-1.4711703935593072,-0.7426934535161943,1.5218218322843312e-05
-1.4021686629624048,-1.2944888893880675,-1.470063258237318,1.3570439477916809e-05
-1.5072810190301795,-1.3994777021830185,-1.293467962889282,1.19226606329903e-05
-1.6123933750979542,-1.5044665149779692,-1.3984055481262434,2.5342711523990147e-05
-0.7563239019124621,-1.60945532777292,-1.5033431333632048,3.583833313314244e-05
-0.08680473729237505,-0.7543920314864951,-1.6082807186001662,2.4163224225048907e-05
-0.831563785787327,-0.08565978280959298,-0.7536346363333029,1.957483618753031e-05
-1.1242585722641398,-0.8295434825467175,-0.08522868451733798,3.2009382266551256e-05
-0.3310547761215227,-1.1218942516956671,-0.8287494184836225,3.122043563053012e-05
-0.3813819422817519,-0.3296227435985067,-1.1209575399010554,2.314168159500696e-05
-0.8967283271321755,-0.37989075798008703,-0.32907260760701124,3.087793811573647e-05
-0.40322997172949226,-0.8946314330794962,-0.37931609454082643,1.5376091596408514e-05
-1.3920978747643011,-0.40171310845759306,-0.8938056104254468,4.547862226900179e-05
0.5281524867093346,-1.3894187506345768,-0.40112779716267255,3.3778658689698204e-05
-0.21819204946087328,0.5285746543481907,-1.388351504677151,3.3723912565619685e-05
-0.22168432277484984,-0.21689266956931855,0.528706047086959,3.3669166441541165e-05
-0.22517659608882637,-0.22038083825762647,-0.21639753835643477,3.302231471025152e-05
-0.266439481403637,-0.22386900694593442,-0.21988400505041586,3.4164889257226605e-05
-0.1935542741530378,-0.2650833941384628,-0.22337047174439698,3.530746380420169e-05
-0.12066906690243862,-0.192283852145318,-0.2645647490570849,3.093880968663143e-05
-0.3993469541425046,-0.11948431015217321,-0.1918007283986402,6.794188084313646e-05
1.961091161069029,-0.39783465475556695,-0.11903670774019555,9.062695608008652e-05
3.4081795935199897,1.9598291315287055,-0.3972512358881026,3.969694807892665e-05
0.15933758293373337,3.4052167359543173,1.9592621672732802,5.604451143881306e-05
1.2021540422028945,0.16019323529297078,3.4039445186785766,4.224567237542942e-05
0.32192154655085126,1.2017840255432621,0.16050437366372128,1.6168979982467135e-05
-1.3415192630689228,0.3225861066757848,1.2015869368830712,2.3225812356031383e-05
-0.8913615981343613,-1.3388995862530773,0.32281800812581607,3.028264472959563e-05
-0.44120393319979984,-0.8892710118393001,-1.3378569902879132,1.886181598820258e-05
-1.1697423659819761,-0.4396424374255229,-0.8884478047143021,3.788414778682636e-05
0.043698454315408024,-1.1673245862680086,-0.439038619140691,4.205717777949758e-05
0.3098974140979778,0.04469002253601947,-1.1663657074916314,2.3475210582546424e-05
-0.875452402996412,0.31057610672580316,0.04505751879264331,1.9766157492995266e-05
-1.1120541230777072,-0.8733805154928999,0.31081386825704227,1.6543255696888082e-05
-1.3176440917843382,-1.1097041469464817,-0.8725650618732648,1.33203539007809e-05
-1.5232340604909689,-1.3150524765295697,-1.1087733831122413,2.8222771106811703e-05
-0.57260395108408,-1.5204008061126573,-1.3140215163679136,2.7413183488533832e-05
-0.6242478123112707,-0.5708880149674319,-1.5192696496235858,1.8607048332341947e-05
-1.185994078789085,-0.6224711768451271,-0.5702201575697136,4.614894351107068e-06
-2.078558196819311,-1.183557197707169,-0.6217781502951341,3.175748497596942e-05
-0.3471233873806548,-2.075072245043218,-1.182590398496017,1.881111029433669e-05
-1.1729768989198794,-0.345672468697163,-2.073670445782346,2.1963290237181354e-05
-0.9718983005617581,-1.1705553175140828,-0.34511450150726347,2.211410719610285e-05
-0.9622776370024305,-0.9697130558633222,-1.1695948623557288,2.362476425332716e-05
